学校,研究生院,自主划线,博士点,考试方式,院系所,专业,研究方向,拟招人数,政治,政治详情,英语,英语详情,业务课一,业务课一详情,业务课二,业务课二详情
(10530)湘潭大学,0,0,0,统考,(048)计算机学院·网络空间安全学院,(081200)计算机科学与技术,(01)计算智能与应用,专业：27(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(408)计算机学科专业基础,见招生简章
(10530)湘潭大学,0,0,0,统考,(048)计算机学院·网络空间安全学院,(081200)计算机科学与技术,(02)计算机系统结构,专业：27(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(408)计算机学科专业基础,见招生简章
(10530)湘潭大学,0,0,0,统考,(048)计算机学院·网络空间安全学院,(081200)计算机科学与技术,(03)计算机应用技术,专业：27(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(408)计算机学科专业基础,见招生简章
(10530)湘潭大学,0,0,0,统考,(048)计算机学院·网络空间安全学院,(081200)计算机科学与技术,(04)网络空间安全,专业：27(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(408)计算机学科专业基础,见招生简章
(10531)吉首大学,0,0,0,统考,(018)计算机科学与工程学院,(081200)计算机科学与技术,(00)不区分研究方向,专业：8(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(827)计算机学科专业基础（自命题）,见学校研究生院网站硕士招生专栏的考试大纲信息
(10532)湖南大学,0,0,1,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,(01)计算机系统结构,专业：28(不含推免),(101)思想政治理论,1,(201)英语（一）,1,(301)数学（一）,1,(866)数据结构,1
(10532)湖南大学,0,0,1,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,(02)计算机软件与理论,专业：28(不含推免),(101)思想政治理论,1,(201)英语（一）,1,(301)数学（一）,1,(866)数据结构,1
(10532)湖南大学,0,0,1,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,(03)计算机应用技术,专业：28(不含推免),(101)思想政治理论,1,(201)英语（一）,1,(301)数学（一）,1,(866)数据结构,1
(10532)湖南大学,0,0,1,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,(04)高性能计算,专业：28(不含推免),(101)思想政治理论,1,(201)英语（一）,1,(301)数学（一）,1,(866)数据结构,1
(10532)湖南大学,0,0,1,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,(05)信息安全与保密技术,专业：28(不含推免),(101)思想政治理论,1,(201)英语（一）,1,(301)数学（一）,1,(866)数据结构,1
(10532)湖南大学,0,0,1,统考,(010)信息科学与工程学院,(081200)计算机科学与技术,(06)人工智能,专业：28(不含推免),(101)思想政治理论,1,(201)英语（一）,1,(301)数学（一）,1,(866)数据结构,1
(10533)中南大学,0,0,1,统考,(018)大数据研究院,(081200)计算机科学与技术,(01)计算机软件与理论,专业：1(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(942)计算机基础综合,见招生简章
(10533)中南大学,0,0,1,统考,(018)大数据研究院,(081200)计算机科学与技术,(02)计算机应用技术,专业：1(不含推免),(101)思想政治理论,见招生简章,(201)英语（一）,见招生简章,(301)数学（一）,见招生简章,(942)计算机基础综合,见招生简章
